source file,source file size (b),encryption algorithm,compression algorithm,order,encryption time (s),compression time (s),encrypted and compressed file size (b),decompression time (s),decryption time (s),total time (s)
./results/2000-word-text.txt,13147,Fernet,bzip,Compression First,0.005710601806640625,0.0029845237731933594,3492,0.0017976760864257812,0.013082027435302734,0.0235748291015625
./results/2000-word-text.txt,13147,Fernet,gzip,Compression First,0.0017294883728027344,0.0006635189056396484,120,0.0010821819305419922,0.011536598205566406,0.015011787414550781
./results/2000-word-text.txt,13147,Fernet,zip,Compression First,0.0011289119720458984,0.0013506412506103516,228,0.0051021575927734375,0.013159036636352539,0.020740747451782227
./results/2000-word-text.txt,13147,Fernet,bzip,Encryption First,0.0008990764617919922,0.0030260086059570312,3492,0.008652687072753906,0.00812673568725586,0.02070450782775879
./results/2000-word-text.txt,13147,Fernet,gzip,Encryption First,0.0019609928131103516,0.0009849071502685547,120,0.00836491584777832,0.005901336669921875,0.0172121524810791
./results/2000-word-text.txt,13147,Fernet,zip,Encryption First,0.0020051002502441406,0.0010225772857666016,228,0.010659456253051758,0.006220817565917969,0.01990795135498047
