source file,source file size (B),encryption algorithm,compression algorithm,order,encryption time (ms),compression time (ms),encrypted and compressed file size (B),decompression time (ms),decryption time (ms),intermediate write time(ms),intermediate read time(ms),final write time(ms),first intermediate size (after first operation) (B),initial characterization - mean,initial characterization - std,initial characterization - max,initial characterization - total keys,after encryption characterization - mean,after encryption characterization - std,after encryption characterization - max,after encryption characterization - total keys,repetition #
10_mb.pdf,11081517,NoEnc,NoZip,Compression First,0.0,0.0,11081517,0.0,0.0,3.10516357421875,15.983104705810547,3.0562877655029297,11081550,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,Fernet,NoZip,Compression First,69.9913501739502,0.0,14775436,0.0,58.991432189941406,5.007028579711914,11.001825332641602,3.0105113983154297,11081550,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NaCl,NoZip,Compression First,25.99048614501953,0.0,11081557,0.0,26.000261306762695,3.0100345611572266,9.165525436401367,3.077268600463867,11081550,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,AES,NoZip,Compression First,270.627498626709,0.0,11081533,0.0,204.42867279052734,3.994464874267578,17.52495765686035,2.988576889038086,11081550,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NoEnc,bzip,Compression First,0.9276866912841797,1968.446969985962,7747044,430.18531799316406,0.0,4.085540771484375,10.999441146850586,5.718469619750977,7747077,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,Fernet,bzip,Compression First,46.041011810302734,2075.664520263672,10329484,432.6653480529785,39.98732566833496,2.004861831665039,11.934280395507812,5.294561386108398,7747077,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NaCl,bzip,Compression First,16.00027084350586,1871.5887069702148,7747084,430.48715591430664,17.10343360900879,2.0096302032470703,16.998767852783203,3.0281543731689453,7747077,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,AES,bzip,Compression First,140.51175117492676,1923.0539798736572,7747060,425.6761074066162,142.01831817626953,2.0186901092529297,8.974313735961914,3.0112266540527344,7747077,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NoEnc,gzip,Compression First,0.9920597076416016,289.61777687072754,9892971,39.002418518066406,0.0,2.009868621826172,10.014772415161133,3.9975643157958984,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,Fernet,gzip,Compression First,59.35549736022949,278.6440849304199,13190712,39.28041458129883,51.99933052062988,4.010200500488281,9.990453720092773,3.000974655151367,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NaCl,gzip,Compression First,19.999980926513672,279.1574001312256,9893011,40.00043869018555,23.99134635925293,3.0002593994140625,11.008501052856445,2.000093460083008,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,AES,gzip,Compression First,177.0009994506836,277.14014053344727,9892987,39.00766372680664,173.51770401000977,2.9993057250976562,13.007640838623047,4.113435745239258,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NoEnc,zip,Compression First,0.9999275207519531,268.45550537109375,9899157,43.999433517456055,0.0,4.158258438110352,17.000436782836914,3.000020980834961,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,Fernet,zip,Compression First,61.00869178771973,279.3121337890625,13198968,47.26862907409668,52.99806594848633,5.016326904296875,12.984752655029297,5.008697509765625,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NaCl,zip,Compression First,24.021625518798828,334.92541313171387,9899197,45.24660110473633,24.973154067993164,3.0074119567871094,9.998559951782227,5.572080612182617,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,AES,zip,Compression First,188.22121620178223,278.4867286682129,9899173,45.1204776763916,173.51722717285156,2.995014190673828,8.015871047973633,3.0193328857421875,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NoEnc,lzma,Compression First,1.0004043579101562,977.6759147644043,1699196,82.99946784973145,0.9262561798095703,3.160238265991211,6.074666976928711,3.0095577239990234,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,Fernet,lzma,Compression First,15.696048736572266,706.8848609924316,2265676,128.1106472015381,20.98846435546875,1.0018348693847656,7.028818130493164,4.03285026550293,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NaCl,lzma,Compression First,9.014129638671875,1081.7553997039795,1699236,161.69476509094238,7.529497146606445,1.7161369323730469,7.615804672241211,8.130073547363281,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,AES,lzma,Compression First,45.13907432556152,1505.8338642120361,1699212,116.1661148071289,45.97806930541992,1.0001659393310547,4.0225982666015625,3.014802932739258,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,0
10_mb.pdf,11081517,NoEnc,NoZip,Encryption First,0.0,0.0,11081517,0.0,0.0,21.219253540039062,12.007951736450195,3.977060317993164,11081550,1.8577381335564997,18.514128255525925,14327,745632,1.8577381335564997,18.514128255525925,14327,745632,0
