filesize,test id,average,std,samples
11081517,Compression FirstbzipFernet,3340.974912047386,553.8194890095647,32
11081517,Compression FirstbzipNaCl,3314.715012907982,557.6271784126543,32
11081517,Compression FirstbzipAES,3561.0886812210083,573.1978654026841,32
11081517,Compression FirstgzipFernet,583.3327993750572,90.67546919317125,32
11081517,Compression FirstgzipNaCl,486.94945126771927,77.43750115304923,32
11081517,Compression FirstgzipAES,912.8687828779221,132.98513090919226,32
11081517,Compression FirstzipFernet,599.2651358246803,98.80548197335351,32
11081517,Compression FirstzipNaCl,487.9760220646858,73.92831187648711,32
11081517,Compression FirstzipAES,935.3548511862755,134.1811542176042,32
11081517,Compression FirstlzmaFernet,1111.1920550465584,194.3334376572682,32
11081517,Compression FirstlzmaNaCl,1115.4961436986923,199.8726140111847,32
11081517,Compression FirstlzmaAES,1196.3159069418907,208.1702425842746,32
11081517,Encryption FirstbzipFernet,2140.2193531394005,295.2386825948742,32
11081517,Encryption FirstgzipFernet,888.6746913194656,138.04207270428245,32
11081517,Encryption FirstzipFernet,924.3284612894058,140.15752796718098,32
11081517,Encryption FirstlzmaFernet,6693.602278828621,663.7518016901846,32
11081517,Encryption FirstbzipNaCl,2270.078204572201,358.8281348510827,32
11081517,Encryption FirstgzipNaCl,386.7987096309662,57.83483318507518,32
11081517,Encryption FirstzipNaCl,389.9006247520447,53.71544777085969,32
11081517,Encryption FirstlzmaNaCl,3782.7053666114807,459.92073933806216,32
11081517,Encryption FirstbzipAES,2781.0570895671844,416.0866611646071,32
11081517,Encryption FirstgzipAES,861.5614399313927,90.50641321765147,32
11081517,Encryption FirstzipAES,890.7646387815475,125.54468953599294,32
11081517,Encryption FirstlzmaAES,4116.587251424789,438.43180625808816,32
