source file,source file size (B),encryption algorithm,compression algorithm,order,encryption time (ms),compression time (ms),encrypted and compressed file size (B),decompression time (ms),decryption time (ms),intermediate write time(ms),intermediate read time(ms),final write time(ms),first intermediate size (after first operation) (B),initial characterization - mean,initial characterization - std,initial characterization - max,initial characterization - total keys,after encryption characterization - mean,after encryption characterization - std,after encryption characterization - max,after encryption characterization - total keys,repetition #,total time EXCL. read + write times (ms),total time INCL. read and write times,compression ratio,estimated network time @ 1Mbps (ms),estimated network time @ 5Mbps (ms),estimated network time @ 10Mbps (ms)
enwik8_1mb.txt,0.0,NoEnc,NoZip,Compression First,0.1000165939331055,0.0,0.0,0.0,0.09891986846923828,0.5179912148506001,6.646933343767713,1.6422438207691286,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,0.13995923749730776,7.00748834032572,0.0,1.828153136119385e-12,4.570382840298462e-13,2.285191420149231e-13
enwik8_1mb.txt,0.0,NoEnc,NoZip,Encryption First,0.09915828704833984,0.0,0.0,0.17172515229459864,0.14004147640614026,0.4992113801505902,5.77922061096904,28.289265365565583,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,0.23816909620036938,28.330940982114598,0.0,1.828153136119385e-12,4.570382840298462e-13,2.285191420149231e-13
enwik8_1mb.txt,0.0,NoEnc,bzip,Compression First,0.21892903365666672,17.96625877516267,0.0,6.94677067724141,0.29527678591670103,1.3892813515298605,1.8620266848617817,1.04542212829588,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,23.33024975792067,23.030780951904354,1.1158161231197418e-16,4.570382840298462e-13,1.7138935651119235e-13,8.569467825559617e-14
enwik8_1mb.txt,0.0,NoEnc,bzip,Encryption First,0.1434526583775833,21.109712539118625,0.0,7.577941294843738,0.2445216192245729,0.5795794695816326,1.81691634421925,0.7461870209833722,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,27.236113300392628,27.093967458336564,1.1158161231197418e-16,4.570382840298462e-13,1.7138935651119235e-13,8.569467825559617e-14
enwik8_1mb.txt,0.0,NoEnc,gzip,Compression First,0.39409416093676763,25.347574352557164,0.0,1.5674866574974933,0.13864712934195736,3.879520843542388,1.69961317265378,0.5507947097509959,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,26.125796126496002,26.53736445810228,0.0,0.0,1.1425957100746156e-13,5.712978550373078e-14
enwik8_1mb.txt,0.0,NoEnc,gzip,Encryption First,0.14067837254236196,26.978630323010492,0.0,1.6870473881499772,0.23880851602831016,2.559098114959631,1.5702051888619184,0.6009231343437704,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,27.626538085844263,27.919296228770158,0.0,0.0,1.1425957100746156e-13,5.712978550373078e-14
enwik8_1mb.txt,0.0,NoEnc,zip,Compression First,0.3942972365716222,18.524233441597026,0.0,1.6880120483212964,0.1397585640126135,0.7481357301722673,2.72476556267594,3.021065304581809,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,19.10965841011335,19.686903517013352,1.1158161231197418e-16,9.140765680596925e-13,1.1425957100746156e-13,5.712978550373078e-14
enwik8_1mb.txt,0.0,NoEnc,zip,Encryption First,0.0,21.227242822076903,0.0,1.8759089504543942,0.2184954821165609,0.5896865998068186,2.617447483249374,0.5930211932529132,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,22.195988323927853,22.745377614049094,1.1158161231197418e-16,9.140765680596925e-13,1.1425957100746156e-13,5.712978550373078e-14
enwik8_1mb.txt,0.0,NoEnc,lzma,Compression First,0.4546389798534911,74.69502001615821,0.0,3.7262786714340375,0.1381360062882707,0.7250802665382722,1.7662445647659095,15.231230923944233,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,76.77068995067324,76.60369832854431,5.579080615598709e-17,0.0,1.7138935651119235e-13,8.569467825559617e-14
enwik8_1mb.txt,0.0,NoEnc,lzma,Encryption First,0.09927749633789062,79.56132333441673,0.0,2.997326336621913,0.2892489894385805,1.7075420217841124,2.076415610709383,0.563999894252626,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,81.53120124000458,81.92736008805204,5.579080615598709e-17,0.0,1.7138935651119235e-13,8.569467825559617e-14
enwik8_1mb.txt,0.0,Fernet,NoZip,Compression First,2.419484584224273,0.1717905275580232,0.0,0.3012970916592571,2.212674475817182,0.5049208063761285,1.6127037062601015,0.5036961695108452,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,3.543059932232133,4.0696012304825,2.2316322462394835e-16,5.484459408358155e-12,4.570382840298462e-13,2.285191420149231e-13
enwik8_1mb.txt,0.0,Fernet,NoZip,Encryption First,2.5038494729378944,0.3581813912983694,0.0,0.35668137446944276,2.9552818351196652,2.3771547940379376,1.801616032443823,6.364764631141306,0.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,4.477122240842581,9.655906378549822,2.2316322462394835e-16,5.484459408358155e-12,4.570382840298462e-13,2.285191420149231e-13
