filesize,test id,average,std,samples
85,Compression FirstNoZipNoEnc,0.030009746551513672,0.17150232294530632,100
85,Compression FirstNoZipFernet,5.178771018981934,1.7240693284723483,100
85,Compression FirstNoZipNaCl,3.993368148803711,1.4197020656297383,100
85,Compression FirstNoZipAES,4.031035900115967,1.424453970090127,100
85,Compression FirstbzipNoEnc,0.22210121154785156,0.4444805780170715,100
85,Compression FirstbzipFernet,4.49366569519043,1.567082357735654,100
85,Compression FirstbzipNaCl,3.958413600921631,1.83146945325929,100
85,Compression FirstbzipAES,3.931698799133301,1.2708272788218944,100
85,Compression FirstgzipNoEnc,0.05843162536621094,0.2326262329256224,100
85,Compression FirstgzipFernet,4.491891860961914,1.4549892466180332,100
85,Compression FirstgzipNaCl,3.7877273559570312,1.2611321488249705,100
85,Compression FirstgzipAES,3.7720894813537598,1.4695556622668273,100
85,Compression FirstzipNoEnc,0.3660297393798828,0.557629122746749,100
85,Compression FirstzipFernet,4.702904224395752,1.378246271207896,100
85,Compression FirstzipNaCl,4.207816123962402,1.391108540195963,100
85,Compression FirstzipAES,4.430375099182129,1.532516207664569,100
85,Compression FirstlzmaNoEnc,3.601377010345459,0.9187379647713496,100
85,Compression FirstlzmaFernet,7.921004295349121,2.2337560014297617,100
85,Compression FirstlzmaNaCl,7.134599685668945,1.6167305618165644,100
85,Compression FirstlzmaAES,7.136123180389404,1.7200405580963,100
85,Encryption FirstNoZipNoEnc,0.049991607666015625,0.21900726111743044,100
85,Encryption FirstbzipNoEnc,0.11968374252319336,0.3545699984861482,100
85,Encryption FirstgzipNoEnc,0.07973432540893555,0.30672113074641394,100
85,Encryption FirstzipNoEnc,0.37952661514282227,0.5660636811824069,100
85,Encryption FirstlzmaNoEnc,3.544900417327881,1.0879375657491686,100
85,Encryption FirstNoZipFernet,4.402189254760742,1.3189500773650682,100
85,Encryption FirstbzipFernet,4.30943489074707,1.3885213247516497,100
85,Encryption FirstgzipFernet,4.288599491119385,1.450832828098515,100
85,Encryption FirstzipFernet,4.775490760803223,1.6894468140037058,100
85,Encryption FirstlzmaFernet,7.911410331726074,1.9009461631612032,100
85,Encryption FirstNoZipNaCl,3.7111639976501465,1.3272173316898672,100
85,Encryption FirstbzipNaCl,4.014556407928467,1.5863418051867533,100
85,Encryption FirstgzipNaCl,4.012975692749023,1.4531031294607524,100
85,Encryption FirstzipNaCl,4.503026008605957,1.575283238950528,100
85,Encryption FirstlzmaNaCl,7.285573482513428,1.7920744967141649,100
85,Encryption FirstNoZipAES,4.318892955780029,1.7636823842616567,100
85,Encryption FirstbzipAES,4.020192623138428,1.5258851843277152,100
85,Encryption FirstgzipAES,3.9582204818725586,1.5197200677726062,100
85,Encryption FirstzipAES,4.511208534240723,1.7420400578445405,100
85,Encryption FirstlzmaAES,7.5963568687438965,2.084755740027857,100
