filesize,test id,average,std,samples
10239975,Compression FirstbzipFernet,1134.024739265442,167.82741861947957,32
10239975,Compression FirstbzipNaCl,1113.9358133077621,149.99097463722646,32
10239975,Compression FirstbzipAES,1219.9627086520195,163.72330575915745,32
10239975,Compression FirstgzipFernet,735.0274622440338,111.75722872365792,32
10239975,Compression FirstgzipNaCl,685.4603886604309,71.7243391372064,32
10239975,Compression FirstgzipAES,838.7455195188522,102.768028885967,32
10239975,Compression FirstzipFernet,612.5654727220535,82.72142016356861,32
10239975,Compression FirstzipNaCl,593.3379456400871,92.80785361820936,32
10239975,Compression FirstzipAES,755.9815049171448,107.76857144704694,32
10239975,Compression FirstlzmaFernet,5610.829666256905,762.7230791689319,32
10239975,Compression FirstlzmaNaCl,5584.337197244167,770.551495026236,32
10239975,Compression FirstlzmaAES,5880.749017000198,786.2826221910148,32
10239975,Encryption FirstbzipFernet,2092.694878578186,307.82578938990656,32
10239975,Encryption FirstgzipFernet,797.9482859373093,89.28951257627945,32
10239975,Encryption FirstzipFernet,842.8550064563751,142.39523525360835,32
10239975,Encryption FirstlzmaFernet,5931.883983314037,554.1033650090508,32
10239975,Encryption FirstbzipNaCl,2031.6716954112053,259.39713233417103,32
10239975,Encryption FirstgzipNaCl,381.84618949890137,67.82817147722184,32
10239975,Encryption FirstzipNaCl,391.3635164499283,71.97348968600984,32
10239975,Encryption FirstlzmaNaCl,3200.9709998965263,339.6911122051142,32
10239975,Encryption FirstbzipAES,2504.7357976436615,318.3846232783169,32
10239975,Encryption FirstgzipAES,820.9689632058144,114.31699691145802,32
10239975,Encryption FirstzipAES,840.3000012040138,126.31134938121296,32
10239975,Encryption FirstlzmaAES,3658.5521027445793,387.72074432538454,32
